Timestamp,Temperature,Humidity,Rain,Dew Point
2026-03-29 01:22:41.229539-03:00,20.7,90.2,0.0,19.035720625520646
2026-03-29 01:33:35.458526-03:00,20.5,90.1,0.0,18.82047772569248
2026-03-29 01:58:02.160171-03:00,20.8,90.4,0.0,19.17000703809633
2026-03-29 02:00:57.620946-03:00,20.8,90.4,0.0,19.17000703809633
2026-03-29 02:04:32.454720-03:00,20.7,90.1,0.0,19.01793572109733
2026-03-29 02:20:21.539264-03:00,20.5,90.6,0.0,18.90909592751236
2026-03-29 02:21:59.604021-03:00,20.5,90.6,0.0,18.90909592751236
2026-03-29 02:28:19.306646-03:00,20.6,91.3,0.0,19.13133216949113
2026-03-29 02:43:29.326853-03:00,20.5,91.4,0.0,19.049996208113424
2026-03-29 02:50:38.216345-03:00,20.5,91.8,0.0,19.120040905975443
2026-03-29 02:56:10.422084-03:00,20.7,91.6,0.0,19.28290946837111
2026-03-29 03:01:48.836196-03:00,20.7,91.6,0.0,19.28290946837111
2026-03-29 03:09:50.340797-03:00,20.6,91.4,0.0,19.14889862376585
2026-03-29 03:17:32.337386-03:00,20.6,91.6,0.0,19.1839809916152
2026-03-29 03:42:14.115188-03:00,20.9,90.6,0.0,19.304277547057257
